n_procs,qualityfactor,corrections,serial_max,parallel_max,serial_mean,parallel_mean,serial_time,parallel_time
2,100,2,3.53E-04,3.71E-02,1.63E-04,1.72E-02,0.273088,15.602692
4,10,2,3.54E-03,3.71E-02,1.64E-03,1.72E-02,0.030413,9.813839
4,50,2,7.06E-04,3.71E-02,3.27E-04,1.72E-02,0.212533,11.042554
8,100,2,3.53E-04,3.71E-02,1.63E-04,1.72E-02,0.323222,6.800989
16,50,2,7.06E-04,3.71E-02,3.27E-04,1.72E-02,0.266127,5.795149
16,100,2,3.53E-04,3.71E-02,1.63E-04,1.72E-02,0.404459,4.202661
16,10,2,3.54E-03,3.71E-02,1.64E-03,1.72E-02,0.095807,13.253634
16,50,2,7.06E-04,3.71E-02,3.27E-04,1.72E-02,0.186552,5.194865
16,100,2,3.53E-04,3.71E-02,1.63E-04,1.72E-02,0.379339,9.783687
16,100,1,3.53E-04,3.71E-02,1.63E-04,1.72E-02,0.304592,0.033993
16,100,2,3.53E-04,3.71E-02,1.63E-04,1.72E-02,0.300513,2.786015
16,100,5,3.53E-04,3.71E-02,1.63E-04,1.72E-02,0.29638,8.982083
16,100,10,3.53E-04,3.71E-02,1.63E-04,1.72E-02,0.315678,19.845286
16,100,50,3.53E-04,3.71E-02,1.63E-04,1.72E-02,0.283889,105.358575
16,100,100,3.53E-04,3.71E-02,1.63E-04,1.72E-02,0.308455,230.49972
